Tiempo_ms,PWM_porcentaje,RPM
11,0,42.9738
22,0,42.9738
32,0,42.9738
43,0,42.9738
53,0,42.9738
64,0,42.9738
74,0,42.9738
85,0,42.9738
95,0,42.9738
106,0,42.9738
116,0,42.9738
127,0,42.9738
137,0,42.9738
148,0,42.9738
158,0,42.9738
169,0,42.9738
179,0,42.9738
190,0,42.9738
200,0,42.9738
211,0,42.9738
221,0,42.9738
232,0,42.9738
242,0,42.9738
253,0,42.9738
263,0,42.9738
274,0,42.9738
284,0,42.9738
295,0,42.9738
305,0,42.9738
316,0,42.9738
326,0,42.9738
337,0,42.9738
347,0,42.9738
358,0,42.9738
368,0,42.9738
379,0,42.9738
427,0,42.9738
438,0,42.9738
449,0,42.9738
459,0,42.9738
470,0,42.9738
480,0,42.9738
491,0,42.9738
501,0,42.9738
512,0,42.9738
522,0,42.9738
533,0,42.9738
543,0,42.9738
554,0,42.9738
564,0,42.9738
575,0,42.9738
585,0,42.9738
595,0,42.9738
606,0,42.9738
616,0,42.9738
627,0,42.9738
637,0,42.9738
648,0,42.9738
658,0,42.9738
669,0,42.9738
679,0,42.9738
690,0,42.9738
700,0,42.9738
711,0,42.9738
721,0,42.9738
732,0,42.9738
742,0,42.9738
753,0,42.9738
763,0,42.9738
774,0,42.9738
784,0,42.9738
795,0,42.9738
809,0,42.9738
820,0,42.9738
830,0,42.9738
841,0,42.9738
851,0,42.9738
862,0,42.9738
872,0,42.9738
883,0,42.9738
893,0,42.9738
904,0,42.9738
914,0,42.9738
925,0,42.9738
935,0,42.9738
946,0,42.9738
956,0,42.9738
966,0,42.9738
977,0,42.9738
987,0,42.9738
998,0,42.9738
1008,0,42.9738
1019,0,42.9738
1029,0,42.9738
1040,0,42.9738
1050,0,42.9738
1061,0,42.9738
1071,0,42.9738
1082,0,42.9738
1092,0,42.9738
1103,0,42.9738
1113,0,42.9738
1124,0,42.9738
1134,0,42.9738
1145,0,42.9738
1155,0,42.9738
1166,0,42.9738
